source,target_uri,target,type
zeldrake.bsky.social,at://did:plc:pajfs3xbea2e4vmhzjlg2nqo/app.bsky.feed.post/3mpo6xdkadk25,,reply
latent-emergence.myatproto.social,at://did:plc:tdqolm2oruycrai57rst5jkc/app.bsky.feed.post/3mptig7yc4c2v,,reply
dededaio.bsky.social,at://did:plc:y354byzmbnusaeqqmwuftztd/app.bsky.feed.post/3mpu2ao4lj227,,reply
punchystream.bsky.social,at://did:plc:y354byzmbnusaeqqmwuftztd/app.bsky.feed.post/3mpu2ao4lj227,,reply
ufal.mff.cuni.cz,at://did:plc:hntgjfowtj4dyfabpvdzo4fx/app.bsky.feed.post/3mpln5y5d522e,,reply
dfactor.bsky.social,at://did:plc:rwhfwinsfiiinis4dpay3jiv/app.bsky.feed.post/3mput4npwec2w,,reply
emily.gorcen.ski,at://did:plc:5hwy5afvfhonj6mrpcxm3rfy/app.bsky.feed.post/3mpvopmp44c2j,,reply
alismonitos.bsky.social,at://did:plc:rrjgpabkiemg4thovwbehog5/app.bsky.feed.post/3mpwfshhy7k27,,reply
alismonitos.bsky.social,at://did:plc:rrjgpabkiemg4thovwbehog5/app.bsky.feed.post/3mpwfw5jcac27,alismonitos.bsky.social,reply
pawberry.bsky.social,at://did:plc:ayrq7vajudlwm2tfrx2yaiml/app.bsky.feed.post/3mpwnw4ea4c2o,pawberry.bsky.social,reply
ihavepawtism.gay,at://did:plc:ayrq7vajudlwm2tfrx2yaiml/app.bsky.feed.post/3mpwoppagc22o,pawberry.bsky.social,reply
finleyfisch.vtubers.social,at://did:plc:bpj7q6eaosxohxoswc2ghtfa/app.bsky.feed.post/3mpx7sosmlk2j,,reply
carmyn.zone,at://did:plc:qidxlevjvidhdarmzgoozcw6/app.bsky.feed.post/3mpxdibf2jc2z,incision.site,reply
lagingnawawala.bsky.social,at://did:plc:yzoa7dahqd3a6wvgmofwwkcd/app.bsky.feed.post/3mpxlgfvex22i,,reply
lagingnawawala.bsky.social,at://did:plc:yzoa7dahqd3a6wvgmofwwkcd/app.bsky.feed.post/3mpxlgfviu22i,lagingnawawala.bsky.social,reply
techpresso.bsky.social,at://did:plc:t3o4nfbk4lq62necw2n35m4f/app.bsky.feed.post/3mnju2chiwo2r,,reply
dgtam86.bsky.social,at://did:plc:xt33hyl55tzbpr64yvq6kooj/app.bsky.feed.post/3mnkhix647u24,,reply
els76uk.bsky.social,at://did:plc:jdmxevnb6ighxq64icv2zq3t/app.bsky.feed.post/3mnkru6rvyc2g,,reply
bonobobananas.bsky.social,at://did:plc:bgjkcictnrwnqi2gag77jdzy/app.bsky.feed.post/3mnkudrjkdk2n,,reply
artbytesslyn.bsky.social,at://did:plc:yeapu3ykct525xmhg4m72gh6/app.bsky.feed.post/3mnn3kgd5322g,,reply
eastsplaining.bsky.social,at://did:plc:hjnftvy2bqhs7ffh7nwii737/app.bsky.feed.post/3mnn3zblmx22x,,reply
justjakesimpson.bsky.social,at://did:plc:g4d7u66soh4vhgsxacqpgl6e/app.bsky.feed.post/3mnnqrehike2z,,reply
joelakeview.bsky.social,at://did:plc:4jeqs4zbvjwynszmhbb6nfpd/app.bsky.feed.post/3mnp5rlvfqs2l,,reply
madamehardy.bsky.social,at://did:plc:rtc75jv64klvmnziu4uubmvt/app.bsky.feed.post/3mnmdiceuok26,,reply
linuxlea.bsky.social,at://did:plc:ywj7m73fef6twav4bksc3rio/app.bsky.feed.post/3mnpspjqedk25,,reply
dreamofpsy.bsky.social,at://did:plc:x3yt3sdtbvlhizqx5jh3hwuf/app.bsky.feed.post/3mnrrzzo5lk2b,,reply
arnebab.rollenspiel.social.ap.brid.gy,at://did:plc:qen3gb7vmucxqbcmikbokysa/app.bsky.feed.post/3mnsbkrw5xbr2,,reply
saintzaiya.blacksky.app,at://did:plc:2d75csnobiaekd7crnwnnw33/app.bsky.feed.post/3mnslbbg4jk2s,saintzaiya.blacksky.app,reply
synvuk.bsky.social,at://did:plc:pey7q4kvxkx7ca275jebvfh7/app.bsky.feed.post/3mnu266vcsq24,,reply
theedragon98.bsky.social,at://did:plc:uwisquqmxcccbd3yiwwftmxq/app.bsky.feed.post/3mnuizd6xak2g,,reply
miluette.com,at://did:plc:2odoyu7cw762c2yqgel6tmmg/app.bsky.feed.post/3mnumg5ui3c2u,,reply
neiwert.bsky.social,at://did:plc:ayjvjm42swh72i2edx2gdoqt/app.bsky.feed.post/3mnvoascies2x,,reply
yakopov.me,at://did:plc:inttr5vfg3qpbbxk35gablvj/app.bsky.feed.post/3mny5hgqobk2u,,reply
rose-bride.bsky.social,at://did:plc:h3p5b3uecycwmwbo24xdjrsc/app.bsky.feed.post/3mo2tqhmvtk2k,,reply
curation-lab.bsky.social,at://did:plc:nzsxmmjkjiyqvshhton6sdky/app.bsky.feed.post/3mo3gt3l6522g,,reply
lucassavs.bsky.social,at://did:plc:6lbjwi7vtqbi36sa3xqcwvie/app.bsky.feed.post/3mnywygr3ys2y,,reply
forrestpass.bsky.social,at://did:plc:p5zm3fkcpzbzu7cgc2wgl3r6/app.bsky.feed.post/3mo3ydo7wvc25,,reply
capitolhunters.bsky.social,at://did:plc:ji7lroxun3yvv2pxhcf7jqsn/app.bsky.feed.post/3mo73p6m7w22i,,reply
adamgaming.bsky.social,at://did:plc:so4dktsoshwyhmqhc25eqnm7/app.bsky.feed.post/3mo7bcwojyc2n,,reply
arcimpulse.bsky.social,at://did:plc:sjcuqsz54uvcli2nyfpll5e5/app.bsky.feed.post/3mocffnatyc2h,nbisbo.bsky.social,reply
arcimpulse.bsky.social,at://did:plc:gknahj7lovilnejhasbcyaxb/app.bsky.feed.post/3mochthm25k2j,p-tux7.bsky.social,reply
cherryscampers.bsky.social,at://did:plc:mckz2ktcc55hmtre5afhveto/app.bsky.feed.post/3modmzdbbnc2f,,reply
moonstruckella.bsky.social,at://did:plc:beymua5nx5zcarucfayocqwc/app.bsky.feed.post/3modmfuakzs26,,reply
barleybap.bsky.social,at://did:plc:5tyvbztk3aazgc5bqfphnkt6/app.bsky.feed.post/3modp6vpgls2l,,reply
creatureno9.bsky.social,at://did:plc:36wx7bwcj3kncvkowhtrac4s/app.bsky.feed.post/3modnyulqgc25,,reply
soilent.etheirys.social,at://did:plc:fpjz54vtq6izlpdembrskc7h/app.bsky.feed.post/3modpnb6kls6r,,reply
kaialone.bsky.social,at://did:plc:fpjz54vtq6izlpdembrskc7h/app.bsky.feed.post/3modpnb6kls6r,,reply
moraisgz.bsky.social,at://did:plc:5tyvbztk3aazgc5bqfphnkt6/app.bsky.feed.post/3modozqtoes2g,,reply
youwashockman.bsky.social,at://did:plc:5pdlhj2i5sa6zyvepayyzco4/app.bsky.feed.post/3moe4lnzxrs2a,,reply
aresydatch.net,at://did:plc:yccfyp3uguq6xlnnwc73nkz6/app.bsky.feed.post/3modz4d5ehk26,,reply
twitteraddict.bsky.social,at://did:plc:fjtwvaudmiho3v7grvenftpv/app.bsky.feed.post/3modsdhg5622s,,reply
